ascountry,occurrences,percentage
BR,401,82.8512396694215
US,70,14.4628099173554
NL,6,1.2396694214876
FR,4,0.826446280991736
PY,1,0.206611570247934
CY,1,0.206611570247934
CN,1,0.206611570247934
