ascountry,occurrences,percentage
ZA,1420,53.2034469838891
US,1006,37.6920194829524
DE,108,4.04645934807044
FR,37,1.38628699887598
GB,27,1.01161483701761
BG,19,0.711877107530911
SE,15,0.562008242787561
NL,13,0.487073810415886
CA,6,0.224803297115024
CZ,4,0.14986886474335
EE,3,0.112401648557512
RO,2,0.0749344323716748
NZ,2,0.0749344323716748
DK,2,0.0749344323716748
AT,2,0.0749344323716748
MU,1,0.0374672161858374
IN,1,0.0374672161858374
HK,1,0.0374672161858374
